,i,algorithm,execution Time
1818,10,mososarm,0.10844206809997559
1819,10,mocssarm,32.43282628059387
1820,11,mocsoarm,0.4642157554626465
1821,11,mopso,0.0359041690826416
1822,11,nsgaii,0.38237547874450684
1823,11,hmofaarm,0.555851936340332
1824,11,mosaarm,1.148679256439209
1825,11,mowsaarm,0.25558924674987793
1826,11,mocatsoarm,0.030003070831298828
1827,11,motlboarm,0.1300048828125
1828,11,mofpaarm,0.05818009376525879
1829,11,moaloarm,3.9008450508117676
1830,11,modaarm,0.4304659366607666
1831,11,mohsbotsarm,0.4191474914550781
1832,11,modearm,0.0500185489654541
1833,11,nshsdearm,0.41966700553894043
1834,11,mogeaarm,0.0759725570678711
1835,11,mogsaarm,0.6912398338317871
1836,11,mossoarm,0.5247302055358887
1837,11,mowoaarm,0.05023360252380371
1838,11,mososarm,0.1100454330444336
1839,11,mocssarm,4.7134082317352295
1840,12,mocsoarm,0.4780004024505615
1841,12,mopso,0.049978017807006836
1842,12,nsgaii,0.39228391647338867
1843,12,hmofaarm,0.5550551414489746
1844,12,mosaarm,1.1603748798370361
1845,12,mowsaarm,0.25466156005859375
1846,12,mocatsoarm,0.03499150276184082
1847,12,motlboarm,0.1302330493927002
1848,12,mofpaarm,0.0490107536315918
1849,12,moaloarm,4.044998407363892
1850,12,modaarm,0.4378657341003418
1851,12,mohsbotsarm,0.4129924774169922
1852,12,modearm,0.04894065856933594
1853,12,nshsdearm,0.4074134826660156
1854,12,mogeaarm,0.07192325592041016
1855,12,mogsaarm,0.6821482181549072
1856,12,mossoarm,0.4670090675354004
1857,12,mowoaarm,0.10294127464294434
1858,12,mososarm,0.10808706283569336
1859,12,mocssarm,17.394523859024048
1860,13,mocsoarm,0.4814009666442871
1861,13,mopso,0.06896281242370605
1862,13,nsgaii,0.3785133361816406
1863,13,hmofaarm,0.5508623123168945
1864,13,mosaarm,1.1506636142730713
1865,13,mowsaarm,0.25408482551574707
1866,13,mocatsoarm,0.0336611270904541
1867,13,motlboarm,0.13062596321105957
1868,13,mofpaarm,0.05884289741516113
1869,13,moaloarm,4.013117551803589
1870,13,modaarm,0.4406702518463135
1871,13,mohsbotsarm,0.4125797748565674
1872,13,modearm,0.04799532890319824
1873,13,nshsdearm,0.42294812202453613
1874,13,mogeaarm,0.07072687149047852
1875,13,mogsaarm,0.6783509254455566
1876,13,mossoarm,0.4675431251525879
1877,13,mowoaarm,0.0957186222076416
1878,13,mososarm,0.1077582836151123
1879,13,mocssarm,17.22925043106079
1880,14,mocsoarm,0.4854586124420166
1881,14,mopso,0.0856473445892334
1882,14,nsgaii,0.39081287384033203
1883,14,hmofaarm,0.5600020885467529
1884,14,mosaarm,1.1498003005981445
1885,14,mowsaarm,0.2540011405944824
1886,14,mocatsoarm,0.033884525299072266
1887,14,motlboarm,0.08537054061889648
1888,14,mofpaarm,0.04787087440490723
1889,14,moaloarm,4.142750263214111
1890,14,modaarm,0.44692111015319824
1891,14,mohsbotsarm,0.4130055904388428
1892,14,modearm,0.04899430274963379
1893,14,nshsdearm,0.42644405364990234
1894,14,mogeaarm,0.0639500617980957
1895,14,mogsaarm,0.675776481628418
1896,14,mossoarm,0.4740617275238037
1897,14,mowoaarm,0.10703396797180176
1898,14,mososarm,0.10599684715270996
1899,14,mocssarm,17.20497703552246
1900,15,mocsoarm,0.4745662212371826
1901,15,mopso,0.10352587699890137
1902,15,nsgaii,0.37463831901550293
1903,15,hmofaarm,0.5509357452392578
1904,15,mosaarm,1.1681735515594482
1905,15,mowsaarm,0.2554636001586914
